Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,2000,16,5,549,6.1,4,1,5,4,0,0,3,0,3.2,3.2,1.6,4.8,0.66,0.16,0.82,0.53,0.27,0.79,0.53,0.79,17,7,41.2,2.79,1.15,16.1,0.19,0.8,90,117,76.9,1190,105,-0.6,8,3,2,5,44,188,7,14,95,79,31,11,3,27.3,7,63.6,127,697,183,2,3,137
Bassirou Ndiaye,SEN,FW,Lorient,Ligue 1,21,2002,5,0,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0,0,,0.0,0.0,,,0.0,27,39,69.2,336,75,-0.2,2,2,0,1,7,69,1,11,39,23,3,7,2,28.6,5,71.4,49,324,75,2,0,43
Ben Brereton,CHI,"FW,MF",Sheffield Utd,Premier League,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,0.49,0.08,0.57,0.49,0.12,0.61,0.43,0.55,34,16,47.1,2.77,1.3,14.5,0.16,-0.1,200,265,75.5,2833,720,-0.5,8,22,12,23,78,387,14,44,167,185,51,28,10,35.7,17,60.7,232,1441,662,15,19,281
Ben Brereton,CHI,"FW,MF",Villarreal,La Liga,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16,5,1,20.0,1.67,0.33,18.1,0.04,-0.2,55,74,74.3,869,208,-0.3,2,3,2,6,35,109,1,12,35,63,13,10,2,20.0,8,80.0,75,518,211,12,3,91
Ben Doak,SCO,FW,Liverpool,Premier League,17,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,4,4,100.0,45,8,0.0,0,0,0,0,0,6,0,0,2,4,0,0,0,,0,,4,7,2,0,0,4
Ben Parkinson,ENG,FW,Newcastle Utd,Premier League,18,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,1,3,33.3,15,0,0.0,0,0,0,0,0,6,2,2,1,3,0,0,0,,0,,0,0,0,0,0,2
Benedict Hollerbach,GER,"FW,MF",Union Berlin,Bundesliga,22,2001,28,15,1282,14.2,5,0,5,5,0,0,2,0,3.4,3.4,1.3,4.7,0.35,0.0,0.35,0.24,0.09,0.33,0.24,0.33,34,10,29.4,2.39,0.7,16.1,0.1,1.6,253,398,63.6,3663,963,-1.3,14,18,18,49,126,659,9,70,289,316,77,74,30,40.5,41,55.4,408,3029,1220,28,24,473
Benicio Boaitey,ENG,"FW,DF",Brighton,Premier League,19,2004,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.05,0.13,0.19,0.05,0.19,1,0,0.0,2.25,0.0,25.2,0.02,0.0,13,20,65.0,188,30,-0.1,1,0,0,1,2,30,1,6,6,19,1,1,1,100.0,0,0.0,19,105,40,2,1,23
Bénie Traoré,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,1,1,100.0,0.23,0.23,15.3,0.27,-0.3,55,71,77.5,775,185,-0.5,4,2,7,7,14,112,2,19,49,48,9,22,5,22.7,15,68.2,72,462,174,5,3,69
Bénie Traoré,CIV,"FW,MF",Nantes,Ligue 1,20,2002,14,4,504,5.6,0,1,1,0,0,0,1,1,0.7,0.7,0.9,1.6,0.0,0.18,0.18,0.13,0.16,0.29,0.13,0.29,7,4,57.1,1.25,0.71,18.7,0.1,-0.7,99,148,66.9,1513,448,0.1,8,9,4,23,45,212,4,19,91,110,23,25,13,52.0,11,44.0,152,1195,585,15,7,140
