Player,Annual Wage (Euros),Weekly Wage (Euros),Squad,Age,League
Kylian Mbappé,72000000 ,1384615 ,Paris S-G,24,Ligue 1
Frenkie de Jong,37500000 ,721154 ,Barcelona,26,La Liga
Robert Lewandowski,27080000 ,520769 ,Barcelona,34,La Liga
Harry Kane,25000000 ,480769 ,Bayern Munich,30,Bundesliga
Kevin De Bruyne,24620675 ,473475 ,Manchester City,32,Premier League
Toni Kroos,24380000 ,468846 ,Real Madrid,33,La Liga
Erling Haaland,23081883 ,443882 ,Manchester City,23,Premier League
David Alaba,22500000 ,432692 ,Real Madrid,31,La Liga
Luka Modrić,21880000 ,420769 ,Real Madrid,37,La Liga
Casemiro,21543091 ,414290 ,Manchester Utd,31,Premier League
Mohamed Salah,21543091 ,414290 ,Liverpool,31,Premier League
Manuel Neuer,21000000 ,403846 ,Bayern Munich,37,Bundesliga
Raphaël Varane,20927574 ,402453 ,Manchester Utd,30,Premier League
Jan Oblak,20830000 ,400577 ,Atlético Madrid,30,La Liga
Jude Bellingham,20830000 ,400577 ,Real Madrid,20,La Liga
Vinicius Júnior,20830000 ,400577 ,Real Madrid,23,La Liga
Thomas Müller,20500000 ,394231 ,Bayern Munich,33,Bundesliga
Raheem Sterling,20004298 ,384698 ,Chelsea,28,Premier League
Leroy Sané,20000000 ,384615 ,Bayern Munich,27,Bundesliga
Ousmane Dembélé,20000000 ,384615 ,Paris S-G,26,Ligue 1
Joshua Kimmich,19500000 ,375000 ,Bayern Munich,28,Bundesliga
Lucas Hernández,19000000 ,365385 ,Paris S-G,27,Ligue 1
Serge Gnabry,18870000 ,362885 ,Bayern Munich,28,Bundesliga
İlkay Gündoğan,18750000 ,360577 ,Barcelona,32,La Liga
Marcus Rashford,18465506 ,355106 ,Manchester Utd,25,Premier League
Bernardo Silva,18465506 ,355106 ,Manchester City,28,Premier League
Jack Grealish,18465506 ,355106 ,Manchester City,27,Premier League
Leon Goretzka,18000000 ,346154 ,Bayern Munich,28,Bundesliga
Kai Havertz,17234473 ,331432 ,Arsenal,24,Premier League
Kingsley Coman,17000000 ,326923 ,Bayern Munich,27,Bundesliga
Marquinhos,16800000 ,323077 ,Paris S-G,29,Ligue 1
Federico Valverde,16670000 ,320577 ,Real Madrid,25,La Liga
Milan Škriniar,16360000 ,314615 ,Paris S-G,28,Ligue 1
Gabriel Jesus,16311197 ,313677 ,Arsenal,26,Premier League
Matthijs de Ligt,16000000 ,307692 ,Bayern Munich,23,Bundesliga
Koke,16000000 ,307692 ,Atlético Madrid,31,La Liga
Anthony Martial,15387922 ,295922 ,Manchester Utd,27,Premier League
Jadon Sancho,15387922 ,295922 ,Manchester Utd,23,Premier League
Mason Mount,15387922 ,295922 ,Manchester Utd,24,Premier League
Reece James,15387922 ,295922 ,Chelsea,23,Premier League
John Stones,15387922 ,295922 ,Manchester City,29,Premier League
Thibaut Courtois,15000000 ,288462 ,Real Madrid,31,La Liga
Declan Rice,14772405 ,284085 ,Arsenal,24,Premier League
Martin Ødegaard,14772405 ,284085 ,Arsenal,24,Premier League
Bruno Fernandes,14772405 ,284085 ,Manchester Utd,28,Premier League
Antonio Rüdiger,14580000 ,280385 ,Real Madrid,30,La Liga
Achraf Hakimi,14550000 ,279808 ,Paris S-G,24,Ligue 1
Marco Asensio,14550000 ,279808 ,Paris S-G,27,Ligue 1
Phil Foden,13849130 ,266329 ,Manchester City,23,Premier League
Jules Koundé,13550000 ,260577 ,Barcelona,24,La Liga
Virgil van Dijk,13541371 ,260411 ,Liverpool,32,Premier League
Rodri,13541371 ,260411 ,Manchester City,27,Premier League
Álvaro Morata,13540000 ,260385 ,Atlético Madrid,30,La Liga
Yannick Carrasco,13130000 ,252500 ,Atlético Madrid,29,La Liga
Dušan Vlahović,12960000 ,249231 ,Juventus,23,Serie A
Victor Osimhen,12820000 ,246538 ,Napoli,24,Serie A
Gianluigi Donnarumma,12730000 ,244808 ,Paris S-G,24,Ligue 1
Randal Kolo Muani,12730000 ,244808 ,Paris S-G,24,Ligue 1
João Cancelo,12500000 ,240385 ,Barcelona,29,La Liga
Raphinha,12500000 ,240385 ,Barcelona,26,La Liga
Antoine Griezmann,12500000 ,240385 ,Atlético Madrid,32,La Liga
Aurélien Tchouaméni,12500000 ,240385 ,Real Madrid,23,La Liga
Eduardo Camavinga,12500000 ,240385 ,Real Madrid,20,La Liga
Rodrygo,12500000 ,240385 ,Real Madrid,22,La Liga
Thomas Partey,12310338 ,236737 ,Arsenal,30,Premier League
Antony,12310338 ,236737 ,Manchester Utd,23,Premier League
Thiago Alcántara,12310338 ,236737 ,Liverpool,32,Premier League
Ben Chilwell,12310338 ,236737 ,Chelsea,26,Premier League
Wesley Fofana,12310338 ,236737 ,Chelsea,23,Premier League
Joško Gvardiol,12310338 ,236737 ,Manchester City,21,Premier League
Wojciech Szczęsny,12040000 ,231538 ,Juventus,33,Serie A
Bukayo Saka,12002579 ,230819 ,Arsenal,21,Premier League
Christopher Nkunku,12002579 ,230819 ,Chelsea,25,Premier League
Kim Min-jae,12000000 ,230769 ,Bayern Munich,26,Bundesliga
Saúl Ñíguez,12000000 ,230769 ,Atlético Madrid,28,La Liga
William Saliba,11694821 ,224900 ,Arsenal,22,Premier League
Harry Maguire,11694821 ,224900 ,Manchester Utd,30,Premier League
Son Heung-min,11694821 ,224900 ,Tottenham,31,Premier League
Nacho,11460000 ,220385 ,Real Madrid,33,La Liga
Iñaki Williams,11400000 ,219231 ,Athletic Club,29,La Liga
Alphonso Davies,11250000 ,216346 ,Bayern Munich,22,Bundesliga
Alex Sandro,11110000 ,213654 ,Juventus,32,Serie A
Hakan Çalhanoğlu,11110000 ,213654 ,Inter,29,Serie A
Lautaro Martínez,11110000 ,213654 ,Inter,25,Serie A
Gabriel Martinelli,11079304 ,213064 ,Arsenal,22,Premier League
Ivan Perišić,11079304 ,213064 ,Tottenham,34,Premier League
Trent Alexander-Arnold,11079304 ,213064 ,Liverpool,24,Premier League
Enzo Fernández,11079304 ,213064 ,Chelsea,22,Premier League
Manuel Akanji,11079304 ,213064 ,Manchester City,28,Premier League
Rúben Dias,11079304 ,213064 ,Manchester City,26,Premier League
Sébastien Haller,11000000 ,211538 ,Dortmund,29,Bundesliga
Keylor Navas,10910000 ,209808 ,Paris S-G,36,Ligue 1
Marc Cucurella,10771545 ,207145 ,Chelsea,25,Premier League
Kyle Walker,10771545 ,207145 ,Manchester City,33,Premier League
James Maddison,10463787 ,201227 ,Tottenham,26,Premier League
Nico Williams,10420000 ,200385 ,Athletic Club,21,La Liga
Dani Ceballos,10420000 ,200385 ,Real Madrid,26,La Liga
Dani Carvajal,10420000 ,200385 ,Real Madrid,31,La Liga
Ferland Mendy,10420000 ,200385 ,Real Madrid,28,La Liga
Alessandro Bastoni,10190000 ,195962 ,Inter,24,Serie A
Cristian Romero,10156028 ,195308 ,Tottenham,25,Premier League
Timo Werner,10156028 ,195308 ,Tottenham,27,Premier League
Dayot Upamecano,10000000 ,192308 ,Bayern Munich,24,Bundesliga
Timo Werner,10000000 ,192308 ,RB Leipzig,27,Bundesliga
Niklas Süle,10000000 ,192308 ,Dortmund,27,Bundesliga
Ferrán Torres,10000000 ,192308 ,Barcelona,23,La Liga
Bruno Guimarães,9848270 ,189390 ,Newcastle Utd,25,Premier League
Ansu Fati,9848270 ,189390 ,Brighton,20,Premier League
Nathan Aké,9848270 ,189390 ,Manchester City,28,Premier League
Dani Olmo,9430000 ,181346 ,RB Leipzig,25,Bundesliga
Iñigo Martínez,9380000 ,180385 ,Barcelona,32,La Liga
Pedri,9380000 ,180385 ,Barcelona,20,La Liga
Lucas Vázquez,9380000 ,180385 ,Real Madrid,32,La Liga
Gleison Bremer,9260000 ,178077 ,Juventus,26,Serie A
Federico Chiesa,9260000 ,178077 ,Juventus,25,Serie A
Nicolò Barella,9260000 ,178077 ,Inter,26,Serie A
Oleksandr Zinchenko,9232753 ,177553 ,Arsenal,26,Premier League
Christian Eriksen,9232753 ,177553 ,Manchester Utd,31,Premier League
Luke Shaw,9232753 ,177553 ,Manchester Utd,28,Premier League
Kalvin Phillips,9232753 ,177553 ,West Ham,27,Premier League
Lucas Paquetá,9232753 ,177553 ,West Ham,25,Premier League
Alexis Mac Allister,9232753 ,177553 ,Liverpool,24,Premier League
Alisson,9232753 ,177553 ,Liverpool,30,Premier League
Ryan Gravenberch,9232753 ,177553 ,Liverpool,21,Premier League
Boubacar Kamara,9232753 ,177553 ,Aston Villa,23,Premier League
Clément Lenglet,9232753 ,177553 ,Aston Villa,28,Premier League
Youri Tielemans,9232753 ,177553 ,Aston Villa,26,Premier League
Moisés Caicedo,9232753 ,177553 ,Chelsea,21,Premier League
Mateo Kovačić,9232753 ,177553 ,Manchester City,29,Premier League
Fabián Ruiz Peña,9090000 ,174808 ,Paris S-G,27,Ligue 1
Konrad Laimer,9000000 ,173077 ,Bayern Munich,26,Bundesliga
Gregor Kobel,9000000 ,173077 ,Dortmund,25,Bundesliga
Andreas Christensen,9000000 ,173077 ,Barcelona,27,La Liga
Kepa Arrizabalaga,9000000 ,173077 ,Real Madrid,28,La Liga
Romelu Lukaku,8970000 ,172500 ,Roma,30,Serie A
Adrien Rabiot,8970000 ,172500 ,Juventus,28,Serie A
Memphis,8750000 ,168269 ,Atlético Madrid,29,La Liga
Darwin Núñez,8617236 ,165716 ,Liverpool,24,Premier League
Diogo Jota,8617236 ,165716 ,Liverpool,26,Premier League
Nordi Mukiele,8400000 ,161538 ,Paris S-G,25,Ligue 1
Axel Witsel,8330000 ,160192 ,Atlético Madrid,34,La Liga
Marcos Llorente,8330000 ,160192 ,Atlético Madrid,28,La Liga
Mario Hermoso,8330000 ,160192 ,Atlético Madrid,28,La Liga
Moussa Diaby,8001719 ,153879 ,Aston Villa,24,Premier League
Ollie Watkins,8001719 ,153879 ,Aston Villa,27,Premier League
Abdoulaye Doucouré,8001719 ,153879 ,Everton,30,Premier League
Bernd Leno,8001719 ,153879 ,Fulham,31,Premier League
Matheus Nunes,8001719 ,153879 ,Manchester City,24,Premier League
Noussair Mazraoui,8000000 ,153846 ,Bayern Munich,25,Bundesliga
Raphaël Guerreiro,8000000 ,153846 ,Bayern Munich,29,Bundesliga
Emre Can,8000000 ,153846 ,Dortmund,29,Bundesliga
César Azpilicueta,8000000 ,153846 ,Atlético Madrid,33,La Liga
Pierre-Emerick Aubameyang,7800000 ,150000 ,Marseille,34,Ligue 1
Wissam Ben Yedder,7800000 ,150000 ,Monaco,32,Ligue 1
Danny Ings,7693961 ,147961 ,West Ham,31,Premier League
Kurt Zouma,7693961 ,147961 ,West Ham,28,Premier League
Jordan Pickford,7693961 ,147961 ,Everton,29,Premier League
Marcus Thuram,7690000 ,147885 ,Inter,25,Serie A
Presnel Kimpembe,7680000 ,147692 ,Paris S-G,28,Ligue 1
Matthias Ginter,7550000 ,145192 ,Freiburg,29,Bundesliga
David Raum,7550000 ,145192 ,RB Leipzig,25,Bundesliga
Marcel Sabitzer,7500000 ,144231 ,Dortmund,29,Bundesliga
Thomas Meunier,7500000 ,144231 ,Dortmund,31,Bundesliga
Ciro Immobile,7410000 ,142500 ,Lazio,33,Serie A
Luis Alberto,7410000 ,142500 ,Lazio,30,Serie A
Aaron Ramsdale,7386203 ,142042 ,Arsenal,25,Premier League
Ben White,7386203 ,142042 ,Arsenal,25,Premier League
André Onana,7386203 ,142042 ,Manchester Utd,27,Premier League
Lisandro Martínez,7386203 ,142042 ,Manchester Utd,25,Premier League
Victor Lindelöf,7386203 ,142042 ,Manchester Utd,29,Premier League
Alphonse Areola,7386203 ,142042 ,West Ham,30,Premier League
Jarrod Bowen,7386203 ,142042 ,West Ham,26,Premier League
Cody Gakpo,7386203 ,142042 ,Liverpool,24,Premier League
Dominik Szoboszlai,7386203 ,142042 ,Liverpool,22,Premier League
Emiliano Martínez,7386203 ,142042 ,Aston Villa,30,Premier League
John McGinn,7386203 ,142042 ,Aston Villa,28,Premier League
Lucas Digne,7386203 ,142042 ,Aston Villa,30,Premier League
Alexander Isak,7386203 ,142042 ,Newcastle Utd,23,Premier League
Kieran Trippier,7386203 ,142042 ,Newcastle Utd,32,Premier League
Malang Sarr,7386203 ,142042 ,Chelsea,24,Premier League
Divock Origi,7386203 ,142042 ,Nott'ham Forest,28,Premier League
Brahim Díaz,7290000 ,140192 ,Real Madrid,23,La Liga
Éder Militão,7290000 ,140192 ,Real Madrid,25,La Liga
Lee Kang-in,7270000 ,139808 ,Paris S-G,22,Ligue 1
James Ward-Prowse,7078444 ,136124 ,West Ham,28,Premier League
Paulo Dybala,7040000 ,135385 ,Roma,29,Serie A
Ismaël Bennacer,7040000 ,135385 ,Milan,25,Serie A
Stefan de Vrij,7040000 ,135385 ,Inter,31,Serie A
Eric Maxim Choupo-Moting,7000000 ,134615 ,Bayern Munich,34,Bundesliga
Julian Brandt,7000000 ,134615 ,Dortmund,27,Bundesliga
Marco Reus,7000000 ,134615 ,Dortmund,34,Bundesliga
Mats Hummels,7000000 ,134615 ,Dortmund,34,Bundesliga
Ronald Araújo,7000000 ,134615 ,Barcelona,24,La Liga
Hugo Ekitike,7000000 ,134615 ,Paris S-G,21,Ligue 1
André Gomes,6912728 ,132937 ,Everton,30,Premier League
Gavi,6800000 ,130769 ,Barcelona,18,La Liga
Nabil Fekir,6800000 ,130769 ,Betis,30,La Liga
Jorginho,6770686 ,130206 ,Arsenal,31,Premier League
Dejan Kulusevski,6770686 ,130206 ,Tottenham,23,Premier League
Thiago Silva,6770686 ,130206 ,Chelsea,38,Premier League
Rodrigo De Paul,6670000 ,128269 ,Atlético Madrid,29,La Liga
Kieran Tierney,6670000 ,128269 ,Real Sociedad,26,La Liga
Bryan Zaragoza,6600000 ,126923 ,Bayern Munich,22,Bundesliga
Emil Forsberg,6600000 ,126923 ,RB Leipzig,31,Bundesliga
Willi Orban,6600000 ,126923 ,RB Leipzig,30,Bundesliga
Yussuf Poulsen,6600000 ,126923 ,RB Leipzig,29,Bundesliga
Bradley Barcola,6600000 ,126923 ,Paris S-G,20,Ligue 1
Gianluca Mancini,6480000 ,124615 ,Roma,27,Serie A
Lorenzo Pellegrini,6480000 ,124615 ,Roma,27,Serie A
Piotr Zieliński,6480000 ,124615 ,Napoli,29,Serie A
Daniele Rugani,6480000 ,124615 ,Juventus,29,Serie A
Federico Dimarco,6480000 ,124615 ,Inter,25,Serie A
Ivan Rakitić,6450000 ,124038 ,Sevilla,35,La Liga
Rafael Leão,6410000 ,123269 ,Milan,24,Serie A
Benjamin Pavard,6410000 ,123269 ,Inter,27,Serie A
Marc-André ter Stegen,6300000 ,121154 ,Barcelona,31,La Liga
Marcos Alonso,6250000 ,120192 ,Barcelona,32,La Liga
José María Giménez,6250000 ,120192 ,Atlético Madrid,28,La Liga
Isco,6250000 ,120192 ,Betis,31,La Liga
Manuel Ugarte,6180000 ,118846 ,Paris S-G,22,Ligue 1
Eddie Nketiah,6155169 ,118369 ,Arsenal,24,Premier League
Gabriel Magalhães,6155169 ,118369 ,Arsenal,25,Premier League
Reiss Nelson,6155169 ,118369 ,Arsenal,23,Premier League
Hugo Lloris,6155169 ,118369 ,Tottenham,36,Premier League
Pierre Højbjerg,6155169 ,118369 ,Tottenham,27,Premier League
Dean Henderson,6155169 ,118369 ,Crystal Palace,26,Premier League
Eberechi Eze,6155169 ,118369 ,Crystal Palace,25,Premier League
Michael Olise,6155169 ,118369 ,Crystal Palace,21,Premier League
Edson Álvarez,6155169 ,118369 ,West Ham,25,Premier League
Andrew Robertson,6155169 ,118369 ,Liverpool,29,Premier League
Joël Matip,6155169 ,118369 ,Liverpool,31,Premier League
Diego Carlos,6155169 ,118369 ,Aston Villa,30,Premier League
Leon Bailey,6155169 ,118369 ,Aston Villa,25,Premier League
Pau Torres,6155169 ,118369 ,Aston Villa,26,Premier League
Tyrone Mings,6155169 ,118369 ,Aston Villa,30,Premier League
Matt Targett,6155169 ,118369 ,Newcastle Utd,27,Premier League
Carney Chukwuemeka,6155169 ,118369 ,Chelsea,19,Premier League
Levi Colwill,6155169 ,118369 ,Chelsea,20,Premier League
Mykhailo Mudryk,6155169 ,118369 ,Chelsea,22,Premier League
Amadou Onana,6155169 ,118369 ,Everton,21,Premier League
Dele Alli,6155169 ,118369 ,Everton,27,Premier League
Dominic Calvert-Lewin,6155169 ,118369 ,Everton,26,Premier League
James Tarkowski,6155169 ,118369 ,Everton,30,Premier League
Raúl Jiménez,6155169 ,118369 ,Fulham,32,Premier League
Ederson,6155169 ,118369 ,Manchester City,29,Premier League
Julián Álvarez,6155169 ,118369 ,Manchester City,23,Premier League
Manuel Locatelli,6110000 ,117500 ,Juventus,25,Serie A
Donyell Malen,6000000 ,115385 ,Dortmund,24,Bundesliga
Felix Nmecha,6000000 ,115385 ,Dortmund,22,Bundesliga
Niclas Füllkrug,6000000 ,115385 ,Dortmund,30,Bundesliga
Álex Grimaldo,6000000 ,115385 ,Leverkusen,27,Bundesliga
Patrik Schick,6000000 ,115385 ,Leverkusen,27,Bundesliga
Eric García,6000000 ,115385 ,Girona,22,La Liga
Alexandre Lacazette,6000000 ,115385 ,Lyon,32,Ligue 1
Layvin Kurzawa,6000000 ,115385 ,Paris S-G,30,Ligue 1
Gianluca Scamacca,5930000 ,114038 ,Atalanta,24,Serie A
Emerson Palmieri,5847410 ,112450 ,West Ham,28,Premier League
José Luis Gayà,5830000 ,112115 ,Valencia,28,La Liga
Leandro Paredes,5770000 ,110962 ,Roma,29,Serie A
Tammy Abraham,5770000 ,110962 ,Roma,25,Serie A
Folarin Balogun,5750000 ,110577 ,Monaco,22,Ligue 1
Elif Elmas,5660000 ,108846 ,RB Leipzig,23,Bundesliga
Loïs Openda,5660000 ,108846 ,RB Leipzig,23,Bundesliga
Péter Gulácsi,5600000 ,107692 ,RB Leipzig,33,Bundesliga
Nikola Milenković,5560000 ,106923 ,Fiorentina,25,Serie A
Alessio Romagnoli,5560000 ,106923 ,Lazio,28,Serie A
Leonardo Spinazzola,5560000 ,106923 ,Roma,30,Serie A
Giovanni Di Lorenzo,5560000 ,106923 ,Napoli,29,Serie A
Leander Dendoncker,5560000 ,106923 ,Napoli,28,Serie A
Alessandro Florenzi,5560000 ,106923 ,Milan,32,Serie A
Domenico Berardi,5560000 ,106923 ,Sassuolo,28,Serie A
Jurriën Timber,5539652 ,106532 ,Arsenal,22,Premier League
Leandro Trossard,5539652 ,106532 ,Arsenal,28,Premier League
Aaron Wan-Bissaka,5539652 ,106532 ,Manchester Utd,25,Premier League
Donny van de Beek,5539652 ,106532 ,Manchester Utd,26,Premier League
Richarlison,5539652 ,106532 ,Tottenham,26,Premier League
Odsonne Édouard,5539652 ,106532 ,Crystal Palace,25,Premier League
Mohammed Kudus,5539652 ,106532 ,West Ham,23,Premier League
Tomáš Souček,5539652 ,106532 ,West Ham,28,Premier League
Leander Dendoncker,5539652 ,106532 ,Aston Villa,28,Premier League
Pablo Sarabia,5539652 ,106532 ,Wolves,31,Premier League
Sven Botman,5539652 ,106532 ,Newcastle Utd,23,Premier League
Benoît Badiashile,5539652 ,106532 ,Chelsea,22,Premier League
Adam Lallana,5539652 ,106532 ,Brighton,35,Premier League
Jack Harrison,5539652 ,106532 ,Everton,26,Premier League
Willian,5539652 ,106532 ,Fulham,34,Premier League
Maximilian Arnold,5500000 ,105769 ,Wolfsburg,29,Bundesliga
Gonçalo Ramos,5500000 ,105769 ,Paris S-G,22,Ligue 1
Joaquín Correa,5450000 ,104808 ,Marseille,28,Ligue 1
Nemanja Matić,5450000 ,104808 ,Rennes,34,Ligue 1
Vitinha,5450000 ,104808 ,Paris S-G,23,Ligue 1
Gonçalo Guedes,5400000 ,103846 ,Villarreal,26,La Liga
Geoffrey Kondogbia,5400000 ,103846 ,Marseille,30,Ligue 1
Jordan Veretout,5400000 ,103846 ,Marseille,30,Ligue 1
David Raya,5231893 ,100613 ,Arsenal,27,Premier League
Diogo Dalot,5231893 ,100613 ,Manchester Utd,24,Premier League
Rasmus Højlund,5231893 ,100613 ,Manchester Utd,20,Premier League
Eric Dier,5231893 ,100613 ,Tottenham,29,Premier League
Pedro Porro,5231893 ,100613 ,Tottenham,23,Premier League
Radu Drăgușin,5231893 ,100613 ,Tottenham,21,Premier League
Michail Antonio,5231893 ,100613 ,West Ham,33,Premier League
Joe Gomez,5231893 ,100613 ,Liverpool,26,Premier League
Joelinton,5231893 ,100613 ,Newcastle Utd,26,Premier League
Mariano,5210000 ,100192 ,Sevilla,29,La Liga
Fran Garcia,5210000 ,100192 ,Real Madrid,23,La Liga
Lukas Klostermann,5200000 ,100000 ,RB Leipzig,27,Bundesliga
Arda Güler,5200000 ,100000 ,Real Madrid,18,La Liga
Bryan Cristante,5190000 ,99808 ,Roma,28,Serie A
Davide Frattesi,5190000 ,99808 ,Inter,23,Serie A
Obite N'Dicka,5130000 ,98654 ,Roma,23,Serie A
Christian Pulisic,5130000 ,98654 ,Milan,24,Serie A
Ruben Loftus-Cheek,5130000 ,98654 ,Milan,27,Serie A
Samuel Chukwueze,5130000 ,98654 ,Milan,24,Serie A
Theo Hernández,5130000 ,98654 ,Milan,25,Serie A
Danilo,5130000 ,98654 ,Juventus,32,Serie A
Eric Dier,5000000 ,96154 ,Bayern Munich,29,Bundesliga
Jamal Musiala,5000000 ,96154 ,Bayern Munich,20,Bundesliga
Karim Adeyemi,5000000 ,96154 ,Dortmund,21,Bundesliga
Edmond Tapsoba,5000000 ,96154 ,Leverkusen,24,Bundesliga
Exequiel Palacios,5000000 ,96154 ,Leverkusen,24,Bundesliga
Sergi Roberto,5000000 ,96154 ,Barcelona,31,La Liga
Çağlar Söyüncü,5000000 ,96154 ,Atlético Madrid,27,La Liga
André Silva,5000000 ,96154 ,Real Sociedad,27,La Liga
Ben Davies,4924135 ,94695 ,Tottenham,30,Premier League
Joachim Andersen,4924135 ,94695 ,Crystal Palace,27,Premier League
Nathaniel Clyne,4924135 ,94695 ,Crystal Palace,32,Premier League
Justin Kluivert,4924135 ,94695 ,Bournemouth,24,Premier League
Thilo Kehrer,4924135 ,94695 ,West Ham,26,Premier League
Matty Cash,4924135 ,94695 ,Aston Villa,25,Premier League
Fábio Silva,4924135 ,94695 ,Wolves,21,Premier League
Nélson Semedo,4924135 ,94695 ,Wolves,29,Premier League
Harvey Barnes,4924135 ,94695 ,Newcastle Utd,25,Premier League
Joe Willock,4924135 ,94695 ,Newcastle Utd,23,Premier League
Axel Disasi,4924135 ,94695 ,Chelsea,25,Premier League
Kaoru Mitoma,4924135 ,94695 ,Brighton,26,Premier League
Lewis Dunk,4924135 ,94695 ,Brighton,31,Premier League
Idrissa Gana Gueye,4924135 ,94695 ,Everton,33,Premier League
Michael Keane,4924135 ,94695 ,Everton,30,Premier League
Callum Hudson-Odoi,4924135 ,94695 ,Nott'ham Forest,22,Premier League
Chris Wood,4924135 ,94695 ,Nott'ham Forest,31,Premier League
Felipe,4924135 ,94695 ,Nott'ham Forest,34,Premier League
Morgan Gibbs-White,4924135 ,94695 ,Nott'ham Forest,23,Premier League
Alex Iwobi,4924135 ,94695 ,Fulham,27,Premier League
João Palhinha,4924135 ,94695 ,Fulham,28,Premier League
Henrikh Mkhitaryan,4870000 ,93654 ,Inter,34,Serie A
Boubakary Soumaré,4850000 ,93269 ,Sevilla,24,La Liga
Thilo Kehrer,4830000 ,92885 ,Monaco,26,Ligue 1
Corentin Tolisso,4800000 ,92308 ,Lyon,28,Ligue 1
Dejan Lovren,4800000 ,92308 ,Lyon,34,Ligue 1
Aleksandr Golovin,4800000 ,92308 ,Monaco,27,Ligue 1
Carlos Soler,4800000 ,92308 ,Paris S-G,26,Ligue 1
Bertrand Traoré,4793930 ,92191 ,Aston Villa,27,Premier League
Borja Mayoral,4790000 ,92115 ,Getafe,26,La Liga
Alassane Pléa,4720000 ,90769 ,Gladbach,30,Bundesliga
Lovro Majer,4720000 ,90769 ,Wolfsburg,25,Bundesliga
Nico Schlotterbeck,4720000 ,90769 ,Dortmund,23,Bundesliga
Ismaila Sarr,4680000 ,90000 ,Marseille,25,Ligue 1
Duván Zapata,4630000 ,89038 ,Torino,32,Serie A
Federico Fazio,4630000 ,89038 ,Salernitana,36,Serie A
Stephan El Shaarawy,4630000 ,89038 ,Roma,30,Serie A
Giacomo Raspadori,4630000 ,89038 ,Napoli,23,Serie A
Alexis Sánchez,4630000 ,89038 ,Inter,34,Serie A
Juan Cuadrado,4630000 ,89038 ,Inter,35,Serie A
Renato Sanches,4620000 ,88846 ,Roma,25,Serie A
Cédric Soares,4616377 ,88776 ,Arsenal,31,Premier League
Tyrell Malacia,4616377 ,88776 ,Manchester Utd,24,Premier League
Destiny Udogie,4616377 ,88776 ,Tottenham,20,Premier League
Fraser Forster,4616377 ,88776 ,Tottenham,35,Premier League
Guglielmo Vicario,4616377 ,88776 ,Tottenham,26,Premier League
Rodrigo Bentancur,4616377 ,88776 ,Tottenham,26,Premier League
Kostas Tsimikas,4616377 ,88776 ,Liverpool,27,Premier League
Douglas Luiz,4616377 ,88776 ,Aston Villa,25,Premier League
Emi Buendía,4616377 ,88776 ,Aston Villa,27,Premier League
Ezri Konsa,4616377 ,88776 ,Aston Villa,25,Premier League
Cole Palmer,4616377 ,88776 ,Chelsea,21,Premier League
Ben Godfrey,4616377 ,88776 ,Everton,25,Premier League
Ibrahim Sangaré,4616377 ,88776 ,Nott'ham Forest,25,Premier League
Takumi Minamino,4600000 ,88462 ,Monaco,28,Ligue 1
Vedat Muriqi,4580000 ,88077 ,Mallorca,29,La Liga
Nicolás Tagliafico,4550000 ,87500 ,Lyon,30,Ligue 1
Ramy Bensebaini,4500000 ,86538 ,Dortmund,28,Bundesliga
Florian Wirtz,4500000 ,86538 ,Leverkusen,20,Bundesliga
Stefan Savić,4500000 ,86538 ,Atlético Madrid,32,La Liga
Chris Smalling,4490000 ,86346 ,Roma,33,Serie A
Fikayo Tomori,4490000 ,86346 ,Milan,25,Serie A
Olivier Giroud,4490000 ,86346 ,Milan,36,Serie A
Arkadiusz Milik,4490000 ,86346 ,Juventus,29,Serie A
Andrea Pinamonti,4440000 ,85385 ,Sassuolo,24,Serie A
Jesús Navas,4400000 ,84615 ,Sevilla,37,La Liga
Marcão,4380000 ,84231 ,Sevilla,27,La Liga
Mason Holgate,4308618 ,82858 ,Sheffield Utd,26,Premier League
Brennan Johnson,4308618 ,82858 ,Tottenham,22,Premier League
Giovani Lo Celso,4308618 ,82858 ,Tottenham,27,Premier League
Pape Matar Sarr,4308618 ,82858 ,Tottenham,20,Premier League
Jefferson Lerma,4308618 ,82858 ,Crystal Palace,28,Premier League
Dominic Solanke,4308618 ,82858 ,Bournemouth,25,Premier League
Angelo Ogbonna,4308618 ,82858 ,West Ham,35,Premier League
Ibrahima Konaté,4308618 ,82858 ,Liverpool,24,Premier League
Jacob Ramsey,4308618 ,82858 ,Aston Villa,22,Premier League
Hwang Hee-chan,4308618 ,82858 ,Wolves,27,Premier League
Issa Diop,4308618 ,82858 ,Fulham,26,Premier League
Unai Simón,4280000 ,82308 ,Athletic Club,26,La Liga
Yuri Berchiche,4280000 ,82308 ,Athletic Club,33,La Liga
Anthony Lopes,4200000 ,80769 ,Lyon,32,Ligue 1
Djibril Sow,4170000 ,80192 ,Sevilla,26,La Liga
Tanguy Nianzou,4170000 ,80192 ,Sevilla,21,La Liga
Jonathan Bamba,4160000 ,80000 ,Celta Vigo,27,La Liga
Granit Xhaka,4150000 ,79808 ,Leverkusen,30,Bundesliga
Azzedine Ounahi,4150000 ,79808 ,Marseille,23,Ligue 1
Nemanja Gudelj,4100000 ,78846 ,Sevilla,31,La Liga
Rick Karsdorp,4070000 ,78269 ,Roma,28,Serie A
Matteo Politano,4070000 ,78269 ,Napoli,29,Serie A
